holdername
"Holder name"
"3FB AERWORX PTY. LTD."
"4 ONE 4 REAL ESTATE PTY LTD"
"4D SURVEYING PTY LIMITED"
"A DOYLE VIDEO PRODUCTION PTY LTD"
"A.C.N. 628 301 066 PTY LTD T/A SEQUOR ANALYTICS"
"A.D.T SERVICES PTY LTD T/A XTREME AERIAL VISION"
"A.I. UAV PTY LTD T/A QMODO"
"A5PIRE PTY LTD"
"A7 HOUSE ENTERPRISES PTY LTD T/A ECOMLOCATIONS; LOCATION AIRCREW"
"AAM PTY LTD"
"AANDA MEDIA PTY LTD T/A ADELAIDE AERIAL PHOTOGRAPHY AND VIDEO"
"AARON WILLIAM MCLEAN"
"ABC PHOTOSIGNS PTY LTD"
"ABE FRANCIS CASEY T/A AEROSCOPE MEDIA"
"ABSOL INVESTMENTS PTY LTD"
"ABSOLUTELY DIGITAL PTY LTD"
"ACACIA HELICOPTERS PTY LTD"
"ACCIDENT INVESTIGATION SERVICES PTY. LTD."
"ACE AVIATION PTY LTD"
"ACE CONTRACTORS GROUP PTY. LTD."
"ACHMAD FAUZI WHEELER T/A BLUE STAR DRONE SOLUTIONS"
"ACI DRONES PTY LTD"
"ACOR CONSULTANTS PTY LTD"
"ACOUSTIC CONSULTING AUSTRALIA PTY. LTD."
"ACRAMAN HOLDINGS PTY LTD T/A ASPECT FLIGHT TRAINING AUSTRALIA; DRONE TASKER"
"ACT CIVIL SURVEYS PTY LTD T/A ELEVATED SURVEYS"
"ADAM FRANKLIN SEATON"
"ADAM KINGSLEY FLACK T/A CERTIFIED DRONE SERVICES; CERTIFIED I.T. SERVICES"
"ADAM LEIGH NUTT T/A THERMAL DRONE INSPECTIONS"
"ADAM LUKE BRUCE T/A MIDNORTH FROMABOVE"
"ADAM MARK YOUNG T/A MY DRONES AERIAL IMAGERY"
"ADAM ROGER ARCHER"
"ADAM WILLIAM PIPPEN"
"ADELAIDE HILLS COUNTRY COTTAGES PTY LTD  T/A AIRBORNE PHOTOGRAPHY"
"ADRIAN CARL HOWSON"
"ADRIAN LIONEL EVANS"
"ADRIAN MAGINNES FISHER"
"ADRIC JAMES HOSKINS-SPITERI"
"ADVANCED DRONES PTY LIMITED"
"ADVANCED UAV PTY LTD"
"ADVENTURE SET PRODUCTIONS PTY LTD"
"ADVITECH PTY. LIMITED"
"AERIAL AGRICULTURE PTY LTD T/A FLEET HELICOPTERS"
"AERIAL APPROACH PTY LTD"
"AERIAL ASSET INSIGHT PTY LTD"
"AERIAL ASSET MANAGEMENT PTY LTD"
"AERIAL BY DRONE PTY LTD"
"AERIAL CAM PHOTOGRAPHY PTY LTD"
"AERIAL DIMENSIONS PTY LTD T/A AERIAL DIMENSIONS"
"AERIAL HOTSHOTS PTY LTD"
"AERIAL IMAGE WORKS PTY LTD"
"AERIAL IMAGING INSPECTION SERVICES PTY LTD"
"AERIAL INFORMATION SERVICES PTY LIMITED"
"AERIAL INSPECTIONS PTY LTD T/A IGNITE DIGI"
"AERIAL LIFE PHOTOGRAPHY PTY LTD"
"AERIAL MISSION PTY. LTD."
"AERIAL OPTICS PTY LTD"
"AERIAL PERSPECTIVE SURVEYS PTY LTD"
"AERIAL PERSPECTIVE SYSTEMS PTY LTD"
"AERIAL PHOTOGRAPHY SPECIALISTS PTY LTD"
"AERIAL PICTURES PTY LTD"
"AERIAL RESOURCES PTY. LTD."
"AERIAL SURVEYING AND PHOTOGRAPHY PTY LTD"
"AERIAL TECHNOLOGIES PTY LTD"
"AERIAL VANTAGE PTY LTD"
"AERIAL VIEW PHOTOGRAPHY PTY LTD"
"AERO VINES PTY LTD"
"AEROBOT SERVICES PTY LTD"
"AEROBRACE PTY LTD"
"AEROBUGS PTY LTD"
"AERODAT INDUSTRIES PTY LTD"
"AERODYNE AUSTRALIA UAV PTY. LTD."
"AEROEYE PTY LTD T/A AEROEYE"
"AEROLENS PTY LTD"
"AEROMATIC PTY LTD"
"AEROMEDIA PTY LTD"
"AEROMETREX LIMITED"
"AEROPICS PTY. LTD."
"AEROPOWER PTY LTD T/A AEROPOWER FLIGHT SCHOOL"
"AEROSCAN PTY LTD"
"AEROSPATIAL PTY LTD"
"AEROTECH ENTERPRISES PTY LTD"
"AEROVIEW AUSTRALIA PTY LTD"
"AGET SERVICES PTY LTD T/A AUSTRALIAN DRONES & UAV'S; GLOBAL UAV & DRONE ENTERPRISES"
"AGRICULTURE VICTORIA RESEARCH OF THE STATE OF VICTORIA"
"AI3D PTY LTD"
"AIR AFFAIRS (AUSTRALIA) PTY. LTD."
"AIR INSPECT AUSTRALIA PTY LTD"
"AIR SUPPORT QUEENSLAND PTY LTD T/A UAV TRAINING AUSTRALIA"
"AIR TRIP FILMS PTY. LTD."
"AIRASSESS PTY LTD T/A AIRASSESS"
"AIRBORN INSIGHT PTY LTD T/A AIRBORN INSIGHT"
"AIRBORNE STUDIO PTY LTD"
"AIRBUS DEFENCE AND SPACE LIMITED"
"AIRCAIR AVIATION OPERATIONS PTY LTD"
"AIROPTIX PTY LTD"
"AIRPAC PTY LTD"
"AIRSCOPE INDUSTRIES PTY LTD"
"AIRSHIP SOLUTIONS PTY LTD"
